section,table,claim,value,source,status,notes
V.B,Table 12,Total MiniSEED Avg 0.957,0.957,—,🔴 NO CSV,Legacy run c3399cac
V.B,Table 12,Δ pre-P noise +0.94%,+0.94%,—,🔴 NO CSV,Derived from missing sources
V.C,Table 13,Fixed-3s Sa(1.0s) = 0.6454 (high-PGA),0.6454,saturation_test_results.csv,✅ MATCH,
V.C,Table 13,Fixed-15s Sa(1.0s) = 0.7198,0.7198,saturation_test_results.csv,✅ MATCH,
V.C,Table 13,Sa(3.0s) improvement +6.59%,+6.59%,saturation_test_results.csv,✅ COMPUTE,Derived correctly
V.C,Table 13,Sa(5.0s) improvement +6.88%,+6.88%,saturation_test_results.csv,✅ COMPUTE,
V.C,Table 13,"N = 1,204 (PGA ≥ 0.1 gal)","1,204","d1 dataset (actual 1,046)",⚠ OFF,"Need gb3 to verify 1,204"
V.C,Table 13,Wilcoxon p < 0.001,p<0.001,—,🟡 NO CSV,Wilcoxon result not stored
V.D,Table 14,Shift 0.0s Sa(0.3s) = 0.8670,0.8670,p_arrival_sensitivity.csv,✅ MATCH,
V.D,Table 14,Shift ±2s ΔR² = −0.0045,−0.0045,p_arrival_sensitivity.csv,✅ COMPUTE,
V.D,Table 14,All 7 shift values,—,p_arrival_sensitivity.csv,✅ FULL MATCH,
V.E,Table 15,τ=0.458 (mean),0.458,—,🔴 NO CSV,No sigma CSV
V.E,Table 15,φ=0.598 (mean),0.598,—,🔴 NO CSV,Same
V.E,Table 15,σ_total=0.755,0.755,—,🔴 NO CSV,Same
V.E,Table 15,Within ±0.5 = 54.4%,54.4%,—,🔴 NO CSV,Same
V.E,Table 15,Within ±1.0 = 83.3%,83.3%,—,🔴 NO CSV,Same
V.E,Table 15,φ²/σ² = 62.8%,62.8%,—,🔴 NO CSV,Derived
VII,Table 17,All summary numbers,—,various,⚠ MIXED,Inherits all above issues
